target_gene,n_dataset_contexts,n_canonical_contexts,n_studies,n_crispri_dataset_contexts,n_crispri_canonical_contexts,dataset_contexts,canonical_contexts,studies,present_in_replogle_k562,present_in_vcc2025_h1,present_in_vcc2026_panel,nominal_exposure_class
SMCO4,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMDT1,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMG1,7,7,3,7,7,mcfaline2024::A172;mcfaline2024::T98G;mcfaline2024::U87MG;nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,A172;HepG2;Jurkat;K562;RPE1;T98G;U87MG,mcfaline2024;nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SMG5,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SMG6,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SMG7,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SMG8,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SMG9,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SMIM1,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMIM10,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMIM12,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMIM13,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMIM14,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMIM15,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMIM19,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMIM20,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMIM29,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMIM3,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMIM4,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMIM7,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMIM8,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMN2,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SMNDC1,4,4,2,4,4,nadig2025::HepG2;nadig2025::Jurkat;replogle2022::K562;replogle2022::RPE1,HepG2;Jurkat;K562;RPE1,nadig2025;replogle2022,True,False,False,seen_multiple_dataset_contexts
SMPD2,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
SMPD4,1,1,1,1,1,replogle2022::K562,K562,replogle2022,True,False,False,seen_one_dataset_context
