target_gene,H1,K562,RPE1,HepG2,Jurkat,A549,MCF7,HT29,HAP1,BxPC3,A172,T98G,U87MG,HCT116,HEK293T,KOLF2.1J,CD4T
ABHD11,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ABHD12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABHD12B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABHD13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABHD14A,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABHD14B,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABHD15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABHD16A,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABHD17A,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ABHD17B,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABHD17C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ABHD18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABHD2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABHD3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABHD4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABHD5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABHD6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABHD8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABI1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABI2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABI3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABI3BP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABITRAM,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABL1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ABL2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ABLIM1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABLIM2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABLIM3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABO,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ABR,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABRA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ABRACL,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABRAXAS1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABRAXAS2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABT1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ABTB1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ABTB2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ABTB3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
AC015871.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC118549.1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ACAA1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACAA2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACACA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACACB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACAD10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACAD11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ACAD8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACAD9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACADL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACADM,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACADS,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACADSB,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACADVL,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACAN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACAP2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACAP3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACAT1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACAT2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACBD3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACBD4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACBD5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACBD6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACBD7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACCS,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACCSL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACD,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ACE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACE2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACER1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ACER2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACER3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACHE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACIN1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ACKR1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACKR2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACKR3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ACKR4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACLY,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACMSD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACO1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACO2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACOD1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACOT1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACOT11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACOT12,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
