measure,threshold,n_genes,notes
canonical_contexts,1,18991,Nominal exact-symbol coverage; no perturbation-quality filters.
canonical_contexts,2,18578,Nominal exact-symbol coverage; no perturbation-quality filters.
canonical_contexts,3,14349,Nominal exact-symbol coverage; no perturbation-quality filters.
canonical_contexts,4,11360,Nominal exact-symbol coverage; no perturbation-quality filters.
dataset_contexts,2,18578,Nominal exact-symbol coverage; no perturbation-quality filters.
dataset_contexts,3,14349,Nominal exact-symbol coverage; no perturbation-quality filters.
dataset_contexts,4,11360,Nominal exact-symbol coverage; no perturbation-quality filters.
independent_studies,2,14437,Nominal exact-symbol coverage; no perturbation-quality filters.
independent_studies,3,11272,Nominal exact-symbol coverage; no perturbation-quality filters.
